# name,mass,radius,orbital_period,star_distance,star_mass,discovered,detection_type
11 Com b,,,326.03,110.6,2.7,2008.0,Radial Velocity
11 Oph b,21.0,,730000.0,145.0,0.0162,2007.0,Imaging
11 UMi b,,,516.22,119.5,1.8,2009.0,Radial Velocity
14 And b,,,185.84,76.4,2.2,2008.0,Radial Velocity
14 Her b,,,1773.4,18.1,0.9,2002.0,Radial Velocity
14 Her c,5.8,,6906.0,18.1,0.9,2006.0,Radial Velocity
16 Cyg B b,,,799.5,21.41,1.01,1996.0,Radial Velocity
17 Sco b,,,578.38,116.0,1.22,2020.0,Radial Velocity
18 Del b,,,993.3,73.1,2.3,2008.0,Radial Velocity
1I/'Oumuamua,,2e-06,,,1.0,2017.0,Imaging
1RXS 1609 b,14.0,1.7,,145.0,0.73,2008.0,Imaging
1RXS J235133.3+312720 b,32.0,,,,0.45,2012.0,Imaging
1SWASP J1407 b,,,3725.0,133.0,0.9,2012.0,Primary Transit
24 Boo b,,,30.3506,100.0,0.99,2018.0,Radial Velocity
24 Sex b,,,452.8,72.2084,1.54,2010.0,Radial Velocity
24 Sex c,,,883.0,72.2084,1.54,2010.0,Radial Velocity
2I/Borisov,,6.2e-05,,,1.0,2019.0,Imaging
2M 0103-55 (AB) b,13.0,,,47.2,0.4,2013.0,Imaging
2M 0219-39 b,13.9,1.44,,39.4,0.11,2015.0,Imaging
2M 0441+23 b,7.5,,,140.0,0.02,2010.0,Imaging
2M 1938+46 b,1.9,,416.0,,0.6,2015.0,Timing
2M 2140+16 b,20.0,0.92,7340.0,25.0,0.08,2010.0,Imaging
2M 2206-20 b,30.0,1.3,8686.0,26.67,0.13,2010.0,Imaging
2M 2236+4751 b,12.5,,,63.0,0.6,2016.0,Imaging
2M J2126-81 b,13.3,,,24.75,0.4,2016.0,Imaging
2M0045+16,25.0,,,15.4,,2019.0,Imaging
2M0117-34,16.4,,,39.02,,2019.0,Imaging
2M0838+15 b,,,,49.0,,2013.0,Imaging
2M0838+15 c,,,,49.0,,2013.0,Imaging
2M1059-21 b,66.95,,690.0,31.81,0.81,2020.0,Astrometry
2M1207 A,60.0,,,52.4,,2004.0,Imaging
2M1207 b,5.0,,,52.4,,2004.0,Imaging
2M1510A a,40.0,1.57,20.901999999999997,36.6,,2020.0,Primary Transit
2M1510A b,39.3,1.57,20.901999999999997,36.6,,2020.0,Primary Transit
2MASS 0359+2009 b,20.0,,,117.76,0.06,2019.0,Imaging
2MASS J00413538-5621127 A,30.0,,,34.7133,,2009.0,Imaging
2MASS J00413538-5621127 B,15.0,,126.0,34.7133,,2010.0,Imaging
2MASS J01225093-2439505 b,24.5,,,36.0,0.4,2013.0,Imaging
2MASS J0249-0557 (AB) c,11.6,,,48.9,,2018.0,Astrometry
2MASS J0249-0557A,48.0,,,48.9,,2018.0,Astrometry
2MASS J0249-0557B,44.0,,,48.9,,2018.0,Astrometry
2MASS J0348-6022,43.0,0.91,,9.0,,2021.0,Imaging
2MASS J0407+1546,67.0,0.97,,36.4421,,2021.0,Imaging
2MASS J06023447-0034369 b,1.1,1.3,3.0525,,,2021.0,Primary Transit
2MASS J10475385+2124234,42.0,,,10.56,,1999.0,Imaging
2MASS J11011926-7732383 A,50.0,,,168.0,,2004.0,Imaging
2MASS J11011926-7732383 B,30.0,,,168.0,,2004.0,Imaging
2MASS J1119-1137 b,3.7,,32850.0,,,2017.0,Imaging
2MASS J1155-7919 b,10.0,,,101.15,,2020.0,Imaging
2MASS J1219+3128,49.0,0.97,,19.0,,2021.0,Imaging
2MASS J1450-7841 A,40.0,,,75.0,0.04,2017.0,Imaging
2MASS J1450-7841 B,40.0,,,75.0,0.04,2017.0,Imaging
2MASS J15344984-2952274 A,30.1,,,15.9,,2008.0,Astrometry
2MASS J15344984-2952274 B,28.2,,5550.0,15.9,,2008.0,Astrometry
2MASS J155947+440359 b,43.0,,,44.76,,2012.0,Imaging
2MASS J2250+2325 b,30.0,,,41.5,,2017.0,Imaging
2MASSW J2208136+292121,10.0,,,50.0,,2000.0,Imaging
3 Cnc b,,,853.64,243.3,2.94,2020.0,Radial Velocity
38 Vir b,,,825.9,,1.18,2016.0,Primary Transit
4 Uma b,,,269.3,78.5,1.234,2007.0,Radial Velocity
42 Dra b,,,479.1,97.3,0.98,2009.0,Radial Velocity
44 Uma b,,,785.74,200.4,2.19,2020.0,Radial Velocity
47 Uma b,,,1078.0,13.97,1.03,1996.0,Radial Velocity
47 Uma c,,,2391.0,13.97,1.03,2001.0,Radial Velocity
47 Uma d,,,14002.0,13.97,1.03,2010.0,Radial Velocity
51 Eri b,2.6,1.11,10260.0,29.4,1.75,2015.0,Imaging
51 Peg b,0.47,1.9,4.2308,14.7,1.11,1995.0,Radial Velocity
55 Cnc b,0.84,,14.653139999999999,12.34,1.015,1996.0,Radial Velocity
55 Cnc c,,,44.373000000000005,12.34,1.015,2002.0,Radial Velocity
55 Cnc d,,,4867.0,12.34,1.015,2002.0,Radial Velocity
55 Cnc e,0.027030000000000002,0.1737,0.7365478,12.34,1.015,2004.0,Primary Transit
55 Cnc f,,,260.91,12.34,1.015,2007.0,Radial Velocity
6 Lyn b,,,934.3,56.9,1.7,2008.0,Radial Velocity
61 Vir b,,,4.215,8.52,0.95,2009.0,Radial Velocity
61 Vir c,,,38.021,8.52,0.95,2009.0,Radial Velocity
61 Vir d,,,123.01,8.52,0.95,2009.0,Radial Velocity
7 CMA c,,,988.9,19.75,1.52,2019.0,Radial Velocity
7 CMa b,,,736.9,19.75,1.52,2011.0,Radial Velocity
70 Vir b,,,116.67,22.0,0.92,1996.0,Radial Velocity
75 Cet b,,,691.9,81.5,2.49,2012.0,Radial Velocity
8 Umi b,,,93.4,159.1,1.8,2015.0,Radial Velocity
81 Cet b,,,952.7,97.2,2.4,2008.0,Radial Velocity
91 Aqr b,,,181.4,45.9,1.4,2003.0,Radial Velocity
AB Dor C b,13.0,,,15.8,0.07200000000000001,2019.0,Imaging
AB Pic b,13.5,,,47.3,,2005.0,Imaging
AD 3116 b,54.2,1.02,1.982796,186.54,0.276,2017.0,Primary Transit
AS 205 A b,,,24.84,140.0,0.9,2017.0,Radial Velocity
ASASSN-16kr b,42.0,1.05,0.061285932,160.5,0.9520000000000001,2021.0,Default
ASASSN-17jf b,60.0,1.12,0.0567904,286.0,0.669,2021.0,Default
AU Mic b,0.053,0.3908,8.462991,9.79,0.5,2020.0,Primary Transit
AU Mic c,0.0463,0.3131,18.858991,9.79,0.5,2020.0,Primary Transit
BD+03 2562 b,,,481.9,2618.0,1.14,2017.0,Radial Velocity
BD+14 4559 b,,,268.94,50.0,0.86,2009.0,Radial Velocity
BD+15 2375 b,,,153.22,774.0,1.08,2016.0,Radial Velocity
BD+15 2940 b,,,137.48,585.0,1.1,2013.0,Radial Velocity
BD+20 2457 b,,,379.63,1670.0,2.8,2009.0,Radial Velocity
BD+20 2457 c,,,621.99,1670.0,2.8,2009.0,Radial Velocity
BD+20 274 b,,,578.2,,0.8,2010.0,Default
BD+20 594 b,0.07,0.23,41.6855,180.39,1.67,2016.0,Primary Transit
BD+24 4697 b,,,145.08100000000002,44.7922,0.75,2016.0,Radial Velocity
BD+26 1888 b,,,536.78,38.0,0.76,2016.0,Radial Velocity
BD+45 564 b,,,307.88,53.7,,2021.0,Radial Velocity
BD+48 738 b,,,392.6,,0.74,2011.0,Radial Velocity
BD+48 740 b,,,733.0,678.933,1.09,2012.0,Default
BD+49 828 b,,,2590.0,,1.52,2015.0,Radial Velocity
